"id","question","answer_a","answer_b","answer_c","correct","media","points","category"
"6379","W jaki sposób powinieneś hamować awaryjnie samochodem osobowym wyposażonym w układ przeciwblokujący (ABS)?","Mocno wcisnąć pedał hamulca i nie zwalniać go w chwili zadziałania układu ABS.","Mocno wcisnąć pedał hamulca i zmniejszyć nacisk w chwili zadziałania układu ABS.","Hamować pulsacyjnie aż do zadziałania układu ABS.","A","2B410.jpg","1","B"
"6380","W którym momencie wciśniesz pedał sprzęgła, gdy jadąc z dużą prędkością samochodem osobowym, planujesz wykonać manewr hamowania?","Przed naciśnięciem pedału hamulca.","Równocześnie z pedałem hamulca.","Gdy prędkość poruszania się samochodu spadnie do minimalnej dla aktualnego przełożenia.","C","2B411.jpg","1","B"
"6381","W jaki sposób będziesz przeciwdziałać sile odśrodkowej podczas skręcania czterokołowcem w lewo?","Górną część ciała odchylę w prawo.","Zaprę się prawą stopą o płytę podnóżka.","Będę utrzymywać ciało w osi wzdłużnej pojazdu.","B","2B450.jpg","1","B1"
"6383","Jaką pozycję ciała powinieneś utrzymywać w czasie zjeżdżania czterokołowcem ze wzniesienia?","Siedzącą, z ciężarem ciała przeniesionym w stronę tylnej osi.","Stojącą, prostopadłą do osi wzdłużnej pojazdu.","Siedzącą, z ciałem pochylonym do przodu","A","2B452.jpg","1","B1"
"6384","Jaką pozycję ciała powinieneś utrzymywać w czasie podjazdu czterokołowcem na wzniesienie?","Siedzącą, prostopadłą do osi wzdłużnej pojazdu.","Stojącą, pochyloną ku przedniej osi.","Siedzącą, odchyloną ku tylnej osi.","B","2B453.jpg","1","B1"
"6385","Co jest niewskazane podczas jazdy czterokołowcem w zakręcie?","Utrzymywanie niewielkiej stałej prędkości jazdy.","Pochylenie się w stronę zakrętu.","Nagłe zamknięcie lub otwarcie przepustnicy.","C","2B454.jpg","1","B1"
"6386","Ile maksymalnie osób, wliczając siebie, możesz przewozić kierując prywatnym samochodem osobowym?","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym plus jedno dziecko w wieku do 3 lat","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym plus jedno dziecko w wieku do 7 lat.","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym.","C","2C101.jpg","1","B"
"6387","Który z wymienionych dokumentów określa dopuszczalną liczbę osób przewożonych pojazdem samochodowym?","Dowód rejestracyjny.","Prawo jazdy.","Dokument stwierdzający zawarcie umowy obowiązkowego ubezpieczenia odpowiedzialności cywilnej.","A","2C102.jpg","1","B,B1"
"6388","Kto ma obowiązek korzystania z pasów bezpieczeństwa?","Tylko kierujący i pasażer siedzący na przednim siedzeniu.","Kierujący i pasażer - na przednim siedzeniu zawsze, a na tylnym tylko wówczas, gdy pojazd porusza się poza obszarem zabudowanym.","Kierujący i wszyscy pasażerowie.","C","2C103.jpg","1","B"
"6389","Czy dorosły pasażer samochodu osobowego przewożony na tylnym siedzeniu ma obowiązek używania pasów bezpieczeństwa?","Nie.","Tak, ale tylko wówczas, gdy pojazd porusza się poza obszarem zabudowanym.","Tak.","C","2C104.jpg","1","B"
"6390","Czy naruszasz przepisy ruchu drogowego, jeżeli kierując pojazdem rozmawiasz przez telefon trzymając go w ręku?","Nie, pod warunkiem panowania nad pojazdem.","Nie, pod warunkiem, że telefon trzymam oddalony od ucha z włączonym trybem głośnomówiącym.","Tak, nawet wówczas gdy telefon trzymam oddalony od ucha z włączonym trybem głośnomówiącym.","C","2C105.jpg","1","B,B1"
"6391","Ile maksymalnie osób, wliczając siebie, możesz przewozić, gdy masz prawo jazdy kategorii B?","5","9","10","B","2C108.jpg","1","B"
"6393","Na których drogach publicznych masz obowiązek zapinać pasy bezpieczeństwa?","Na wszystkich drogach.","Tylko na drogach twardych.","Tylko na drogach poza obszarem zabudowanym.","A","2C130.jpg","1","B"
"6397","Czy wolno Ci przewozić przedszkolaka na kolanach osoby dorosłej?","Tak, tylko na tylnym siedzeniu.","Nie.","Tak, jeżeli korzysta się z pasów bezpieczeństwa.","B","2C137.jpg","1","B"
"6398","Czy masz prawo przewozić niemowlaka na kolanach osoby dorosłej?","Nie.","Tak, ale tylko na tylnym siedzeniu.","Tak, ale pod warunkiem, że osoba ta korzysta z pasów bezpieczeństwa.","A","2C138.jpg","1","B"
"6399","Jaki jest właściwy sposób przewożenia noworodka samochodem osobowym?","W dowolnym nosidełku, jeśli jest przypięte pasami bezpieczeństwa.","W odpowiednim dla noworodka foteliku ochronnym.","Na kolanach osoby dorosłej z zapiętymi pasami bezpieczeństwa.","B","2C139.jpg","1","B"
"6400","Czy kierując czterokołowcem masz prawo przewozić dziecko w wieku do 6 lat?","Nie.","Tak, ale tylko z prędkością do 40 km/h.","Tak, z dowolną prędkością.","B","2C160.jpg","1","B1"
"6401","Którym z wymienionych zespołów pojazdów możesz kierować mając prawo jazdy kategorii B?","Samochodem ciężarowym o dopuszczalnej masie całkowitej 2,5 t z przyczepą lekką.","Ciągnikiem rolniczym z dwiema przyczepami.","Samochodem osobowym z przyczepą, których łączna dopuszczalna masa całkowita wynosi 4,5 t.","A","2C107.jpg","1","B"
"6402","Jaka jest maksymalna dopuszczalna odległość, licząc od tylnej płaszczyzny obrysu pojazdu, na którą może wystawać ładunek przewożony pojazdem samochodowym?","2 m.","1 m.","0,5 m.","A","2C117.jpg","1","B,B1"
"6403","Jaka jest maksymalna dopuszczalna długość zespołu pojazdów składającego się z samochodu osobowego i przyczepy kempingowej?","18,75 m.","17,75 m.","15 m.","A","2C118.jpg","1","B"
"6404","Którą z tych czynności ma obowiązek wykonać uczestnik wypadku drogowego, w którym są ranni?","Niezwłocznie usunąć pojazd z drogi, aby nie utrudniał ruchu.","Niezwłocznie pozbierać uszkodzone części pojazdu z jezdni, aby nie utrudniały ruchu.","Udzielić niezbędnej pomocy ofiarom wypadku oraz wezwać zespół ratownictwa medycznego i Policję.","C","2C120.jpg","1","B,B1"
"6405","W jakiej odległości za stojącym na autostradzie, uszkodzonym samochodem osobowym, masz obowiązek umieścić ostrzegawczy trójkąt odblaskowy?","30-50 m.","100 m.","150 m.","B","2C121.jpg","1","B"
"6406","Co nazywamy zespołem pojazdów?","Samochód osobowy z przyczepą.","Motocykl z bocznym wózkiem.","Pojazdy silnikowe złączone w celu holowania.","A","2C123.jpg","1","B"
"6407","Który z wymienionych przedmiotów należy do obowiązkowego wyposażenia każdego samochodu osobowego?","Koło zapasowe.","Apteczka doraźnej pomocy.","Gaśnica.","C","2C125.jpg","1","B"
"6408","Czy dozwolone jest oddalanie się od pojazdu, gdy jego silnik jest w ruchu?","Nie.","Tak, pod warunkiem, że pojazd pozostaje w polu widzenia.","Tak, na czas nie dłuższy niż 1 minutę.","A","2C126.jpg","1","B,B1"
"6409","Której z tych czynności nie masz prawa wykonać, gdy uczestniczysz w wypadku, w którym są zabici?","Usunąć pojazdu z drogi, aby nie utrudniał ruchu.","Udzielić niezbędnej pomocy ofiarom wypadku.","Wezwać zespołu ratownictwa medycznego.","A","2C128.jpg","1","B,B1"
"6410","Który z tych przedmiotów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?","Podnośnik.","Ostrzegawczy trójkąt odblaskowy.","Kamizelka odblaskowa.","B","2C131.jpg","1","B"
"6411","Który z tych przedmiotów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?","Ostrzegawczy trójkąt odblaskowy.","Komplet zapasowych żarówek.","Urządzenie głośnomówiące do telefonu.","A","2C132.jpg","1","B"
"6412","Który z tych przedmiotów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?","Gaśnica.","Nawigacja satelitarna.","Urządzenie do przecinania pasów.","A","2C133.jpg","1","B"
"6413","W jakim terminie masz obowiązek przeprowadzać okresowe badanie techniczne samochodu osobowego?","Zawsze co 3 lata.","Zawsze co 2 lata.","Przed upływem terminu podanego w dowodzie rejestracyjnym pojazdu.","C","2C204.jpg","1","B"
"6414","Czy masz prawo kierować samochodem osobowym, posiadając prawo jazdy, którego termin ważności upłynął?","Tak, przez 7 dni po upływie terminu ważności.","Tak, przez 14 dni po upływie terminu ważności.","Nie.","C","2C207.jpg","1","B"
"6416","W jakim przypadku masz obowiązek przeprowadzić dodatkowe badanie techniczne samochodu osobowego?","Po zmianie właściciela pojazdu.","Po skierowaniu przez organ kontroli ruchu drogowego.","Po wygaśnięciu umowy ubezpieczenia OC.","B","2C211.jpg","1","B"
"6417","Co powinien zrobić właściciel samochodu osobowego w przypadku utraty tablicy rejestracyjnej?","Jeździć z jedną tablicą.","Niezwłocznie zastąpić tablicę rejestracyjną inną, bez znaku legalizacji.","Wystąpić z wnioskiem o wydanie zalegalizowanego wtórnika tablicy rejestracyjnej.","C","2C212.jpg","1","B"
"6419","Gdzie należy przeprowadzać okresowe badania techniczne pojazdu?","W każdym dobrze wyposażonym warsztacie samochodowym.","W autoryzowanej stacji napraw, która serwisuje pojazd.","W podstawowej lub okręgowej stacji kontroli pojazdów.","C","2C217.jpg","1","B"
"6422","Czy masz prawo kierować czterokołowcem, posiadając nieważne prawo jazdy kategorii B1?","Tak, przez 7 dni po upływie terminu ważności.","Tak, przez 14 dni po upływie terminu ważności.","Nie.","C","2C251.jpg","1","B1"
"6423","W jakim przypadku masz obowiązek przeprowadzić dodatkowe badanie techniczne czterokołowego pojazdu samochodowego o masie własnej 500 kg?","Po zmianie właściciela pojazdu.","Po skierowaniu przez organ kontroli ruchu drogowego.","Po wygaśnięciu umowy ubezpieczenia OC.","B","2C252.jpg","1","B1"
"6426","Przy jakim stężeniu alkoholu we krwi zabronione jest kierowanie pojazdem samochodowym?","0,2 ‰.","0,1 ‰.","0,05 ‰.","A","2C255.jpg","1","B1"
"6427","Gdzie należy przeprowadzać okresowe badania techniczne pojazdu samochodowego o masie własnej do 550 kg?","W każdym dobrze wyposażonym warsztacie samochodowym.","W autoryzowanej stacji napraw, która serwisuje pojazd.","W podstawowej lub okręgowej stacji kontroli pojazdów.","C","2C256.jpg","1","B1"
"6430","Którym z pojazdów możesz kierować posiadając prawo jazdy kategorii B1?","Motocyklem z wózkiem bocznym.","Czterokołowcem.","Każdym pojazdem samochodowym o masie własnej wynoszącej 650 kg.","B","2C259.jpg","1","B1"
"6431","Którym z pojazdów możesz kierować posiadając prawo jazdy kategorii B1?","Każdym samochodem osobowym.","Motorowerem.","Ciągnikiem rolniczym.","B","2C260.jpg","1","B1"
"6432","Jakie mogą być skutki niezapięcia pasów bezpieczeństwa przez kierowcę?","Większe uszkodzenia pojazdu podczas kolizji.","Większe obrażenia ciała kierowcy podczas wypadku.","Uszkodzenie poduszki powietrznej.","B","2C301.jpg","1","B,B1"
"6434","O czym świadczy skok pedału hamulca do dołu, gdy po jego wciśnięciu uruchomisz silnik pojazdu?","O działaniu wspomagania układu hamulcowego.","O wysokim poziomie płynu hamulcowego w zbiorniku wyrównawczym.","O działaniu układu przeciwblokującego (ABS).","A","2C303.jpg","1","B"
"6436","Czym może być spowodowany nadmierny luz (ruch jałowy) koła kierownicy samochodu?","Zużyciem przegubów (końcówek) drążków kierowniczych.","Zużyciem opon.","Niewyważeniem kół kierowanych.","A","2C305.jpg","1","B"
"6437","Co może być przyczyną ""ściągania"" w lewo pojazdu w czasie jazdy na wprost?","Działanie wspomagania układu kierowniczego.","Nieprawidłowe ustawienie zbieżności kół.","Zbyt niskie ciśnienie w prawej przedniej oponie.","B","2C306.jpg","1","B,B1"
"6438","Jakie mogą być konsekwencje użytkowania opon z nadmiernie zużytym bieżnikiem, podczas hamowania na mokrej nawierzchni?","Wzrost siły tarcia.","Skrócenie drogi hamowania.","Zmniejszenie siły tarcia i wydłużenie drogi hamowania.","C","2C307.jpg","1","B,B1"
"6439","Jaki może być skutek zużycia amortyzatorów kół kierowanych?","Zwiększenie przyczepności kół do jezdni.","Zmniejszenie przyczepności kół i sterowności pojazdu.","Zwiększenie skuteczności hamowania.","B","2C308.jpg","1","B,B1"
"6440","Jaki może być skutek niewyważenia kół jezdnych w pojeździe?","Zblokowanie kół jezdnych.","Zwiększenie okresu eksploatacji opony.","Nierównomierne zużycie bieżnika opony.","C","2C309.jpg","1","B,B1"
"6441","Na co, przede wszystkim, może mieć wpływ nieprawidłowe ustawienie lusterek zewnętrznych w pojeździe samochodowym?","Na bezpieczeństwo w czasie zwiększania prędkości.","Na bezpieczeństwo podczas zmiany pasa ruchu.","Na bezpieczeństwo podczas wymijania.","B","2C310.jpg","1","B,B1"
"6442","Do czego służą światła pozycyjne pojazdu?","Do oświetlania drogi.","Do określania pozycji pojazdu.","Do sygnalizowania zmiany pasa ruchu.","B","","1","B,B1"
"6443","Jaki może być skutek nieprawidłowo ustawionych reflektorów świateł mijania?","Zwiększone zużycie paliwa.","Zwiększone zużycie żarówek.","Oślepianie kierujących nadjeżdżających z przeciwka.","C","","1","B,B1"
"6444","W jaki sposób powinny być ustawione światła mijania w pojeździe samochodowym?","Tak, aby oświetlały drogę na odległość do 30 m przed pojazdem.","Tak, aby symetrycznie oświetlały całą drogę.","Tak, aby oświetlały drogę asymetrycznie.","C","2C314.jpg","1","B,B1"
"6445","Do czego służą tylne światła przeciwmgłowe samochodu osobowego?","Zwiększają skuteczność sygnalizowania hamowania we mgle.","Zastępują światła pozycyjne.","Poprawiają widoczność pojazdu w gęstej mgle ograniczającej widoczność do 50 m.","C","2C315.jpg","1","B,B1"
"6446","Jaką funkcję w pojeździe samochodowym pełnią światła cofania?","Oświetlają drogę z przodu pojazdu.","Oświetlają drogę z tyłu pojazdu i sygnalizują manewr cofania.","Podświetlają tablicę rejestracyjną z tyłu pojazdu.","B","2C316.jpg","1","B,B1"
"6447","Jaki może być skutek używania uszkodzonych lub zużytych piór wycieraczek w samochodzie osobowym?","Zmniejszenie zużycia płynu do spryskiwaczy.","Zmniejszenie zużycia akumulatora.","Pogorszenie widoczności drogi w czasie deszczu.","C","2C317.jpg","1","B"
"6448","Jakiego sygnału dźwiękowego możesz używać w pojeździe samochodowym?","O zmiennym tonie.","O dowolnym tonie.","O ciągłym nieprzeraźliwym tonie.","C","2C318.jpg","1","B,B1"
"6449","Jakie mogą być skutki nieszczelności układu wydechowego w pojeździe samochodowym?","Zwiększenie pojemności silnika.","Zwiększenie poziomu emisji hałasu przez układ wydechowy pojazdu","Zwiększenie spalania oleju silnikowego.","B","2C319.jpg","1","B,B1"
"6450","Co może być przyczyną znacznie zwiększonej częstotliwości migania świateł kierunkowskazów?","Zwarcie w obwodzie świateł kierunkowskazów.","Niesprawność żarówki w jednej z lamp kierunkowskazów.","Niskie napięcie akumulatora.","B","2C320.jpg","1","B,B1"
"6451","Jaki może być skutek nieprawidłowo ustawionych reflektorów świateł mijania?","Zwiększone zużycie paliwa.","Pogorszenie widoczności drogi w nocy.","Zwiększone zużycie żarówek.","B","","1","B,B1"
"6452","Czy apteczka doraźnej pomocy jest obowiązkowym wyposażeniem każdego pojazdu samochodowego?","Tak.","Nie, ale warto ją mieć.","Tak, jeżeli jest wyposażony w instalację gazową.","B","2D102.jpg","1","B,B1"
"6453","Które z wymienionych zachowań wobec rannego w wypadku, może skutkować odpowiedzialnością karną?","Zaniechanie udzielenia jakiejkolwiek pomocy.","Każde nieprofesjonalne działanie ratownicze.","Każde nieprofesjonalne i błędne działanie ratownicze.","A","2D103.jpg","1","B,B1"
"6454","Jakie są najistotniejsze informacje dla służb ratowniczych, określające miejsce wypadku drogowego?","Nazwa ulicy i numer posesji lub numer drogi, nazwa najbliższej miejscowości, słupek kilometrowy.","Numer telefonu informującego.","Jedynie nazwa najbliższej miejscowości.","A","2D106.jpg","1","B,B1"
"6456","Co powinien zrobić kierujący na autostradzie, gdy podczas jazdy zrobi mu się duszno, wystąpią dreszcze, zdrętwieją ręce i poczuje ból w okolicy żołądka oraz szum w uszach?","Przyspieszyć i jechać do szpitala.","Ostrożnie zjechać na pas awaryjny, wezwać Ratownictwo Medyczne i rozpiąć pasy.","Otworzyć okno i jechać do szpitala.","B","2D116.jpg","1","B,B1"
"6457","Jak powinieneś postąpić, gdy jesteś świadkiem upadku z czterokołowca, a ofiara ma uraz głowy, z widocznym krwawym wyciekiem z nosa lub ucha?","Unieruchomić głowę i kręgosłup szyjny i założyć opatrunek osłaniający.","Nałożyć opatrunki uciskowe na miejsca krwawiące.","Nie dotykać poszkodowanego.","A","2D151.jpg","1","B1"
"6458","Jakie uszkodzenia zazwyczaj towarzyszą ciężkim urazom głowy po upadku z czterokołowca?","Uszkodzenia kręgosłupa lędźwiowego.","Uszkodzenia kręgosłupa piersiowego.","Uraz kręgosłupa szyjnego i czaszki.","C","2D152.jpg","1","B1"
"6459","Pod który z podanych numerów powinieneś zadzwonić, aby wezwać karetkę pogotowia ratunkowego na miejsce wypadku drogowego?","997","998","112 lub 999","C","2D154.jpg","1","B,B1"
"6461","Która z wymienionych czynności należy do obowiązków kierowcy uczestniczącego w wypadku drogowym, w którym jest zabity lub ranny?","Ustalenie przebiegu wypadku.","Ustalenie sprawcy wypadku.","Pozostanie na miejscu zdarzenia.","C","2D180.jpg","1","B,B1"
"6463","Jadąc zimą spotykasz na poboczu sinego, półprzytomnego, wyziębionego człowieka. Jak należy mu pomóc?","Podać mu gorący napój.","Podać mu alkohol.","Wezwać zespół ratownictwa medycznego, zabrać go do samochodu, okryć i powoli ogrzewać.","C","","1","B"
"6465","Czy każdy ma obowiązek udzielenia pierwszej pomocy poszkodowanym w wypadku drogowym?","Nie, gdyż udzielać pomocy mogą jedynie osoby z wykształceniem medycznym.","Tak, gdyż można samodzielnie wykonać część działań ratunkowych.","Nie, gdyż za ewentualnie popełnione błędy grozi odpowiedzialność karna.","B","2D153.jpg","1","B,B1"
"6466","Co powinieneś zrobić w razie stwierdzenia złamania otwartego?","Założyć opatrunek z waty.","Unieruchomić dwa sąsiadujące stawy.","Natychmiast mocno naciągnąć kończynę.","B","2D155.jpg","1","B,B1"
"6467","Co należy zastosować do opatrzenia silnie krwawiących ran?","Wyłącznie jałową gazę.","Opatrunek uciskowy z gazy lub bandaża.","Jodynę i gencjanę.","B","2D157.jpg","1","B,B1"
"6468","Dlaczego układanie na boku osób nieprzytomnych i oddychających jest bezpieczne?","Ponieważ zapewnia poszkodowanemu największy komfort oczekiwania na pogotowie.","Ponieważ zabezpiecza przed urazami kręgosłupa szyjnego.","Ponieważ zapobiega niedrożności dróg oddechowych i zachłyśnięciu.","C","2D107.jpg","1","B,B1"
"6469","Która z wymienionych czynności należy do obowiązków kierowcy uczestniczącego w zdarzeniu drogowym, w którym nie ma osób zabitych lub rannych?","Pozostawienie pojazdu w miejscu zdarzenia.","Wezwanie policji.","Usunięcie pojazdu z miejsca zdarzenia, aby nie powodował zagrożenia lub tamowania ruchu.","C","2D181.jpg","1","B,B1"
"6470","Co w pierwszej kolejności należy zrobić, gdy dziecko znajdujące się w foteliku zachłysnęło się jedzeniem?","Możliwie szybko jechać do szpitala.","Bezpiecznie zatrzymać samochód, wyjąć dziecko i trzymając je głową w dół uderzać między łopatkami.","Telefonicznie wezwać zespół ratownictwa medycznego bez samodzielnego udzielania pomocy dziecku.","B","2D109.jpg","1","B"
"6471","Z jaką maksymalną dopuszczalną prędkością masz prawo jechać motocyklem po drodze za tymi znakami?","130 km/h.","140 km/h.","150 km/h.","B","3A101.jpg","1","A,A1,A2"
"6472","Z jaką prędkością masz prawo kierować motocyklem po drodze ekspresowej dwujezdniowej?","105 km/h.","125 km/h.","145 km/h.","A","3A102.jpg","1","A,A1,A2"
"6473","Z jaką maksymalną dopuszczalną prędkością masz prawo kierować motocyklem po drodze za tymi znakami?","90 km/h.","100 km/h.","120 km/h.","C","3A103.jpg","1","A,A1,A2"
"6474","Z jaką prędkością masz prawo przewozić motocyklem sześcioletnie dziecko?","70 km/h.","50 km/h.","30 km/h.","C","3A104.jpg","1","A,A1,A2"
"6477","Z jaką maksymalną dopuszczalną prędkością masz prawo kierować motocyklem jadąc drogą za tym znakiem i przewożąc pięcioletnie dziecko?","20 km/h.","30 km/h.","40 km/h.","A","3A107.jpg","1","A,A1,A2"
"6478","Czy masz prawo jechać motocyklem po pasie ruchu dla autobusów?","Tak, możesz go wykorzystać do omijania pojazdów w zatorze drogowym (""korku"").","Tak, możesz jechać za autobusem, aby uniknąć utrudnień w ruchu.","Nie.","C","3A109.jpg","1","A,A1,A2"
"6479","Który z pokazanych znaków zabrania przekraczania prędkości 40 km/h?","A.","B.","C.","C","3A110.jpg","1","A,AM,A1,A2"
"6480","Którego z wymienionych pojazdów nie możesz wyprzedzić kierując motocyklem na drodze za tym znakiem?","Motoroweru.","Motocykla jednośladowego.","Samochodu osobowego.","C","3A111.jpg","1","A,A1,A2"
"6481","Który z wymienionych pojazdów możesz wyprzedzić kierując motocyklem na drodze za tym znakiem?","Ciągnik rolniczy bez przyczepy.","Motocykl jednośladowy.","Czterokołowiec lekki.","B","3A112.jpg","1","A,A1,A2"
"6482","Który z wymienionych pojazdów możesz wyprzedzić kierując motocyklem na drodze za tym znakiem?","Ciągnik rolniczy.","Motocykl z bocznym wózkiem.","Motorower.","C","3A113.jpg","1","A,A1,A2"
"6483","Który z wymienionych pojazdów może wjechać na drogę za tym znakiem?","Motocykl jednośladowy.","Motocykl trójkołowy o symetrycznym rozmieszczeniu kół.","Czterokołowiec lekki.","A","3A114.jpg","1","A,A1,A2"
"6484","Który z wymienionych pojazdów nie może wjechać na drogę za tym znakiem?","Czterokołowiec lekki.","Motorower.","Motocykl z bocznym wózkiem.","C","3A115.jpg","1","A,A1,A2"
"6485","Czy kierując motocyklem jednośladowym, możesz korzystać z pasa ruchu dla rowerów?","Tak, tylko do najbliższego skrzyżowania.","Tak, z zachowaniem szczególnej ostrożności.","Nie.","C","3A116.jpg","1","A,A1,A2"
"6488","Z którą z wymienionych prędkości możesz jechać przewożąc motorowerem sześcioletnie dziecko?","70 km/h.","50 km/h.","30 km/h.","C","","1","AM"
"6492","Z jaką maksymalną dopuszczalną prędkością możesz kierować motorowerem za tym znakiem, przewożąc pięcioletnie dziecko?","20 km/h.","30 km/h.","40 km/h.","A","3A154.jpg","1","AM"
"6493","Jaka maksymalna liczba motorowerów może jechać w zorganizowanej kolumnie?","10","15","20","A","3A155.jpg","1","AM"
"6494","Który z wymienionych pojazdów masz prawo wyprzedzić kierując czterokołowcem lekkim na drodze za tym znakiem?","Ciągnik rolniczy bez przyczepy.","Motocykl jednośladowy.","Inny czterokołowiec lekki.","B","3A157.jpg","1","AM"
"6495","Który z wymienionych pojazdów masz prawo wyprzedzić kierując czterokołowcem lekkim na drodze za tym znakiem?","Ciągnik rolniczy.","Motocykl z bocznym wózkiem.","Motorower.","C","3A158.jpg","1","AM"
"6496","Który z wymienionych pojazdów ma prawo wjechać na drogę za tym znakiem?","Motorower.","Samochód osobowy.","Czterokołowiec lekki.","A","3A159.jpg","1","AM"
"6497","Czy kierując motorowerem masz prawo korzystać z pasa ruchu dla rowerów?","Tak, tylko do najbliższego skrzyżowania.","Tak, z zachowaniem szczególnej ostrożności.","Nie.","C","3A160.jpg","1","AM"
"6498","Czy kierując motorowerem, masz prawo korzystać z pasa ruchu dla rowerów?","Nie.","Tak, pod warunkiem ustępowania miejsca rowerzystom.","Tak, z zachowaniem szczególnej ostrożności.","A","3A161.jpg","1","AM"
"6499","Który z elementów jest obowiązkowym wyposażeniem motocykla?","Sygnał dźwiękowy.","Gaśnica.","Apteczka doraźnej pomocy.","A","3A202.jpg","1","A,A1,A2"
"6500","Który z elementów jest obowiązkowym wyposażeniem motocykla jednośladowego, którego prędkość maksymalna jest wyższa niż 100 km/h?","Trójkąt ostrzegawczy.","Gaśnica.","Co najmniej dwa lusterka zewnętrzne.","C","3A203.jpg","1","A,A1,A2"
"6501","Czy obowiązkowym wyposażeniem motocykla są światła awaryjne?","Tak.","Nie, jest to zabronione.","Nie, ale jest to dopuszczalne.","C","3A207.jpg","1","A,A1,A2"
"6502","Które z wymienionych świateł odblaskowych stanowi obowiązkowe wyposażenie motocykla?","Tylne trójkątne.","Tylne inne niż trójkątne.","Boczne.","B","3A208.jpg","1","A,A1,A2"
"6503","Jaka może być najmniejsza głębokość rzeźby bieżnika opony motocykla nie wyposażonej we wskaźnik zużycia?","2,6 mm.","1,6 mm.","1,1 mm.","B","3A210.jpg","1","A,A1,A2"
"6504","Który z wymienionych elementów jest obowiązkowym wyposażeniem motocykla z bocznym wózkiem?","Apteczka doraźnej pomocy.","Trójkąt ostrzegawczy.","Gaśnica.","B","3A215.jpg","1","A,A1,A2"
"6505","Jakie światła mogą być umieszczone na bocznym wózku motocykla?","Pozycyjne przednie i tylne.","Drogowe.","Mijania.","A","3A216.jpg","1","A,A1,A2"
"6506","Który z wymienionych strojów zapewnia najskuteczniejszą ochronę kierującego w przypadku przewrócenia się motocykla?","Spodnie materiałowe, koszula z krótkim rękawem, sandały.","Dżinsowe spodnie i koszula z długim rękawem, buty sportowe.","Kombinezon z ochraniaczami, buty z cholewką, rękawice.","C","3A217.jpg","1","A,A1,A2"
"6507","Czy jadąc motocyklem masz obowiązek używać kasku ochronnego?","Tak, jadąc dowolnym motocyklem.","Tak, z wyjątkiem jazdy motocyklem fabrycznie wyposażonym w pasy bezpieczeństwa.","Nie, jadąc dowolnym motocyklem z bocznym wózkiem.","B","3A218.jpg","1","A,A1,A2"
"6508","Który z wymienionych elementów jest obowiązkowym wyposażeniem motoroweru?","Sygnał dźwiękowy.","Gaśnica.","Apteczka doraźnej pomocy.","A","3A250.jpg","1","AM"
"6509","Jaka może być minimalna głębokość rzeźby bieżnika opony motoroweru nie wyposażonej we wskaźnik zużycia?","2,6 mm.","1,6 mm.","1,1 mm.","B","3A251.jpg","1","AM"
"6510","Który z wymienionych elementów jest obowiązkowym wyposażeniem motoroweru?","Trójkąt ostrzegawczy.","Gaśnica.","Co najmniej jedno lusterko wsteczne z lewej strony.","C","3A252.jpg","1","AM"
"6512","Które z wymienionych świateł odblaskowych stanowi obowiązkowe wyposażenie motoroweru?","Tylne trójkątne.","Tylne inne niż trójkątne.","Boczne.","B","3A254.jpg","1","AM"
"6513","Który z wymienionych elementów jest obowiązkowym wyposażeniem motoroweru?","Trójkąt ostrzegawczy.","Gaśnica.","Światło barwy białej umieszczone z przodu.","C","3A255.jpg","1","AM"
"6514","Który z wymienionych strojów zapewnia najskuteczniejszą ochronę kierującego w przypadku upadku z motoroweru?","Spodnie materiałowe, koszula z krótkim rękawem, sandały.","Dżinsowe spodnie i koszula z długim rękawem, buty sportowe.","Kombinezon z ochraniaczami, buty z cholewką, rękawice.","C","3A256.jpg","1","AM"
"6515","Co w zasadniczy sposób decyduje o długości drogi hamowania motocykla?","Czas reakcji kierującego.","System kontroli trakcji.","Rodzaj nawierzchni, po której porusza się pojazd.","C","3B101.jpg","1","A,A1,A2"
"6516","Jak, w przybliżeniu, wzrasta długość drogi hamowania motocykla przy dwukrotnie większej prędkości?","Dwukrotnie.","Trzykrotnie.","Czterokrotnie.","C","","1","A,A1,A2"
"6518","Jaki odstęp, kierując motocyklem, powinieneś zachować od jadącego przed tobą pojazdu w obszarze zabudowanym?","Dowolny.","Niezbędny do uniknięcia zderzenia w razie zatrzymania się pojazdu poprzedzającego.","Odpowiadający długości motocykla.","B","3B106.jpg","1","A,A1,A2"
"6519","Jaki odstęp, kierując motocyklem, powinieneś zachować podczas wyprzedzania poza obszarem zabudowanym?","Co najmniej 2 m podczas wyprzedzania pieszego.","Co najmniej 2 m podczas wyprzedzania rowerzysty.","Co najmniej 1 m podczas wyprzedzania innego motocykla.","C","","1","A,A1,A2"
"6520","Jaka jest minimalna odległość pomiędzy jadącymi kolumnami motocykli?","200 m.","300 m.","500 m.","C","3B108.jpg","1","A,A1,A2"
